,Date,Open,High,Low,Close,Adj Close,Volume,USDT Marketcap,USDT Volume,USDT Change
1565,2019-10-09,8229.84,8627.71,8169.3,8595.74,8595.74,19384942333,3566136379,27325803072,0.001331707042642405
1566,2019-10-10,8585.28,8625.27,8471.93,8586.47,8586.47,17618660671,3566273428,24995849749,3.843066709596776e-05
1567,2019-10-11,8585.26,8721.78,8316.18,8321.76,8321.76,19604381101,3558783233,26069363993,-0.002100286237502691
1568,2019-10-12,8315.67,8415.24,8313.34,8336.56,8336.56,14532641605,3562687765,21445472846,0.001097153646165916
1569,2019-10-13,8336.9,8470.99,8276.61,8321.01,8321.01,13808286059,3566190753,19731508334,0.0009832430544189918
1570,2019-10-14,8320.83,8390.21,8284.13,8374.69,8374.69,15151387859,3562469746,20481025331,-0.0010434122170469573
1571,2019-10-15,8373.46,8410.71,8182.71,8205.37,8205.37,15220412632,3562701963,21493954351,6.518427286605899e-05
1572,2019-10-16,8204.67,8216.81,7985.09,8047.53,8047.53,16071646996,4290643937,22778736976,0.20432300584218144
1573,2019-10-17,8047.81,8134.83,8000.94,8103.91,8103.91,14313052244,4293271658,21017194197,0.0006124304506696099
1574,2019-10-18,8100.93,8138.41,7902.16,7973.21,7973.21,15651592610,4290053876,23001663306,-0.0007494941518559894
1575,2019-10-19,7973.8,8082.63,7944.78,7988.56,7988.56,13797825640,4292394553,19614059974,0.0005456055023211892
1576,2019-10-20,7997.81,8281.82,7949.44,8222.08,8222.08,15504249442,4295335039,21726972960,0.0006850455995348614
1577,2019-10-21,8225.12,8296.69,8196.42,8243.72,8243.72,15868748866,4297893303,20519706077,0.0005955912581374623
1578,2019-10-22,8243.4,8296.65,8074.46,8078.2,8078.2,16803377857,4294516192,22592600143,-0.0007857596180069759
1579,2019-10-23,8076.23,8093.0,7469.32,7514.67,7514.67,21942878958,4295912133,27816653007,0.0003250519820137132
1580,2019-10-24,7509.73,7532.87,7446.99,7493.49,7493.49,16268708849,4289829278,21576189844,-0.0014159635513196767
1581,2019-10-25,7490.7,8691.54,7479.98,8660.7,8660.7,28705065488,4289720345,39805653923,-2.5393318228039696e-05
1582,2019-10-26,8667.58,10021.74,8662.62,9244.97,9244.97,44496255609,4286032327,55987960238,-0.000859733899506665
1583,2019-10-27,9241.71,9749.53,9112.54,9551.71,9551.71,32593129501,4280403227,43087750578,-0.0013133592027617658
1584,2019-10-28,9565.1,9805.12,9256.15,9256.15,9256.15,30948255332,4285238496,40864168912,0.0011296293231208843
1585,2019-10-29,9248.44,9516.18,9232.65,9427.69,9427.69,28426779937,4290299219,39273058912,0.0011809664747304272
1586,2019-10-30,9422.46,9426.87,9085.37,9205.73,9205.73,27706531577,4290571163,36077163962,6.338578875708656e-05
1587,2019-10-31,9202.46,9383.16,9028.72,9199.58,9199.58,26583653947,4295520274,35532580746,0.0011534853547423563
1588,2019-11-01,9193.99,9275.66,9132.05,9261.1,9261.1,24324691031,4292402328,32143190075,-0.0007258599194310822
1589,2019-11-02,9259.78,9377.49,9249.59,9324.72,9324.72,21242676385,4297274004,37020985766,0.0011349532564133291
1590,2019-11-03,9324.79,9379.81,9141.25,9235.35,9235.35,21132220847,4291350974,35606245349,-0.0013783226283654582
1591,2019-11-04,9235.61,9505.05,9191.49,9412.61,9412.61,26170255634,4292440543,36846094171,0.00025389883199977703
1592,2019-11-05,9413.0,9457.42,9256.93,9342.53,9342.53,26198609048,4286247361,35016718660,-0.001442811365226615
1593,2019-11-06,9340.86,9423.24,9305.91,9360.88,9360.88,23133895765,4288910378,32499542400,0.0006212933542357746
1594,2019-11-07,9352.39,9368.48,9202.35,9267.56,9267.56,22700383839,4290025664,32029646985,0.00026003947429642515
1595,2019-11-08,9265.37,9272.76,8775.53,8804.88,8804.88,24333037836,4281140240,32889531255,-0.002071182015194628
1596,2019-11-09,8809.47,8891.82,8793.16,8813.58,8813.58,17578630606,4287864816,24322997830,0.0015707441529642097
1597,2019-11-10,8812.49,9103.83,8806.16,9055.53,9055.53,20587919881,4283684765,29388838134,-0.000974856059921092
1598,2019-11-11,9056.92,9081.28,8700.61,8757.79,8757.79,20265510765,4286569550,27167436432,0.0006734354085926597
1599,2019-11-12,8759.75,8853.77,8685.43,8815.66,8815.66,20309769107,4294412325,27295538643,0.0018296157121724388
1600,2019-11-13,8812.03,8836.84,8761.65,8808.26,8808.26,17545755405,4282553700,23557537652,-0.0027614081048912276
1601,2019-11-14,8811.94,8826.94,8692.55,8708.09,8708.09,19084739975,4281715106,26038460288,-0.00019581634201104592
1602,2019-11-15,8705.71,8730.87,8484.84,8491.99,8491.99,21796856471,4288170791,29250394793,0.001507733429287228
1603,2019-11-16,8491.17,8592.0,8473.97,8550.76,8550.76,16495389808,4294415723,21907019693,0.0014563160621090532
1604,2019-11-17,8549.47,8727.79,8500.97,8577.98,8577.98,18668638897,4292153693,24109469983,-0.0005267375461310841
1605,2019-11-18,8573.98,8653.28,8273.57,8309.29,8309.29,21579470673,4289846713,28356386247,-0.0005374877427530844
1606,2019-11-19,8305.13,8408.52,8099.96,8206.15,8206.15,21083613816,4290414178,26197290937,0.0001322809503379041
1607,2019-11-20,8203.61,8237.24,8010.51,8027.27,8027.27,20764300437,4288809724,23864504727,-0.0003739624971936806
1608,2019-11-21,8023.64,8110.1,7597.38,7642.75,7642.75,22514243371,4292424386,29584385318,0.0008428123961230494
1609,2019-11-22,7643.57,7697.38,6936.71,7296.58,7296.58,34242315785,4307290446,42906098775,0.0034633248400337546
1610,2019-11-23,7296.16,7442.26,7151.42,7397.8,7397.8,21008924418,4292479947,26505424422,-0.003438472326321551
1611,2019-11-24,7398.63,7408.58,7029.29,7047.92,7047.92,30433517289,4293854079,26761650455,0.00032012543260928616
1612,2019-11-25,7039.98,7319.86,6617.17,7146.13,7146.13,42685231262,4293965830,36734741081,2.6025802913665075e-05
1613,2019-11-26,7145.16,7320.23,7098.57,7218.37,7218.37,21129505542,4290698536,26889139669,-0.0007609035864172276
1614,2019-11-27,7220.88,7619.69,6974.17,7531.66,7531.66,23991412764,4285167649,30591386806,-0.0012890411557918702
1615,2019-11-28,7536.82,7730.07,7454.12,7463.11,7463.11,19050116751,4292216044,22857515724,0.0016448352963844837
1616,2019-11-29,7466.73,7781.18,7460.76,7761.24,7761.24,19709695456,4286771768,24099380304,-0.0012684067959743972
1617,2019-11-30,7764.06,7836.1,7515.85,7569.63,7569.63,17158194786,4286494287,19383832515,-6.472959490666508e-05
1618,2019-12-01,7571.62,7571.62,7291.34,7424.29,7424.29,18720708479,4288996420,23688721937,0.0005837247952453772
1619,2019-12-02,7424.04,7474.82,7233.4,7321.99,7321.99,17082040706,4289905360,19906240091,0.00021192370218869883
1620,2019-12-03,7323.98,7418.86,7229.36,7320.15,7320.15,14797485769,4286019192,17978581741,-0.0009058866510751606
1621,2019-12-04,7320.13,7539.78,7170.92,7252.03,7252.03,21664240918,4287650290,26076009963,0.0003805624582933209
1622,2019-12-05,7253.24,7743.43,7232.68,7448.31,7448.31,18816085231,4283121715,23549639360,-0.0010561903825416774
