Date,Open,High,Low,Close,Adj Close,Volume
Aug 15 2017,4326.99,4455.97,3906.18,4181.93,4181.93,3258050048
Aug 14 2017,4066.10,4325.13,3989.16,4325.13,4325.13,2463089920
Aug 13 2017,3880.04,4208.39,3857.80,4073.26,4073.26,3159089920
Aug 12 2017,3650.63,3949.92,3613.70,3884.71,3884.71,2219589888
Aug 11 2017,3373.82,3679.72,3372.12,3650.62,3650.62,2021190016
Aug 10 2017,3341.84,3453.45,3319.47,3381.28,3381.28,1515110016
Aug 09 2017,3420.40,3422.76,3247.67,3342.47,3342.47,1468960000
Aug 08 2017,3370.22,3484.85,3345.83,3419.94,3419.94,1752760064
Aug 07 2017,3212.78,3397.68,3180.89,3378.94,3378.94,1482279936
Aug 06 2017,3257.61,3293.29,3155.60,3213.94,3213.94,1105030016
Aug 05 2017,2897.63,3290.01,2874.83,3252.91,3252.91,1945699968
Aug 04 2017,2806.93,2899.33,2743.72,2895.89,2895.89,1002120000
Aug 03 2017,2709.56,2813.31,2685.14,2804.73,2804.73,804796992
Aug 02 2017,2727.13,2762.53,2668.59,2710.67,2710.67,1094950016
Aug 01 2017,2871.30,2921.35,2685.61,2718.26,2718.26,1324669952
Jul 31 2017,2763.24,2889.62,2720.61,2875.34,2875.34,860574976
Jul 30 2017,2724.39,2758.53,2644.85,2757.18,2757.18,705942976
Jul 29 2017,2807.02,2808.76,2692.80,2726.45,2726.45,803745984
Jul 28 2017,2679.73,2897.45,2679.73,2809.01,2809.01,1380099968
Jul 27 2017,2538.71,2693.32,2529.34,2671.78,2671.78,789104000
Jul 26 2017,2577.77,2610.76,2450.80,2529.45,2529.45,937404032
Jul 25 2017,2757.50,2768.08,2480.96,2576.48,2576.48,1460089984
Jul 24 2017,2732.70,2777.26,2699.19,2754.86,2754.86,866473984
Jul 23 2017,2808.10,2832.18,2653.94,2730.40,2730.40,1072840000
Jul 22 2017,2668.63,2862.42,2657.71,2810.12,2810.12,1177129984
Jul 21 2017,2838.41,2838.41,2621.85,2667.76,2667.76,1489449984
Jul 20 2017,2269.89,2900.70,2269.89,2817.60,2817.60,2249260032
Jul 19 2017,2323.08,2397.17,2260.23,2273.43,2273.43,1245100032
Jul 18 2017,2233.52,2387.61,2164.77,2318.88,2318.88,1512450048
Jul 17 2017,1932.62,2230.49,1932.62,2228.41,2228.41,1201760000
Jul 16 2017,1991.98,2058.77,1843.03,1929.82,1929.82,1182870016
Jul 15 2017,2230.12,2231.14,1990.41,1998.86,1998.86,993608000
Jul 14 2017,2360.59,2363.25,2183.22,2233.34,2233.34,882502976
Jul 13 2017,2402.70,2425.22,2340.83,2357.90,2357.90,835769984
